Model No,Basic Model Name,Epochs,loss,categorical_accuracy,val_loss,val_categorical_accuracy,,
MODEL6,VGG-16-B,86,0.20001252,0.928390622,0.326119751,0.875,,
MODEL6,VGG-16-B,87,0.204836905,0.932730556,0.373448789,0.850694418,,
MODEL6,VGG-16-B,88,0.195048377,0.936079562,0.374719888,0.8515625,,
MODEL6,VGG-16-B,89,0.20181337,0.929475605,0.40796417,0.831597209,,
MODEL6,VGG-16-B,90,0.200799435,0.93417722,0.354319096,0.859375,,
MODEL6,VGG-16-B,91,0.202277064,0.932368875,0.35917002,0.854166687,,
MODEL6,VGG-16-B,92,0.200552359,0.92766726,0.345030129,0.865451396,,
MODEL6,VGG-16-B,93,0.200095519,0.929475605,0.375286102,0.848090291,,
MODEL6,VGG-16-B,94,0.190921903,0.937070549,0.333542287,0.877604187,,
MODEL6,VGG-16-B,95,0.203146145,0.93092227,0.347542077,0.866319418,,
MODEL6,VGG-16-B,96,0.202255934,0.928752244,0.418261409,0.824652791,,
MODEL6,VGG-16-B,97,0.191318333,0.932368875,0.356440425,0.859375,,
MODEL6,VGG-16-B,98,0.194519818,0.938878834,0.366646618,0.860243082,,
MODEL6,VGG-16-B,99,0.194447607,0.933815539,0.370619625,0.852430582,,
MODEL6,VGG-16-B,100,0.191642955,0.937070549,0.352397263,0.859375,,
MODEL6,VGG-16-B,101,0.190228343,0.933453918,0.342629045,0.865451396,,
MODEL6,VGG-16-B,102,0.201492772,0.929113925,0.36703223,0.852430582,,
MODEL6,VGG-16-B,103,0.197473675,0.93417722,0.366742253,0.853298604,,
MODEL6,VGG-16-B,104,0.196717128,0.932007253,0.362584949,0.853298604,,
MODEL6,VGG-16-B,105,0.202424079,0.932007253,0.367045343,0.849826396,,
MODEL6,VGG-16-B,106,0.195072383,0.930198908,0.383385837,0.849826396,,
MODEL6,VGG-16-B,107,0.190656021,0.938517153,0.365557432,0.860243082,,
MODEL6,VGG-16-B,108,0.192682222,0.937070549,0.318294466,0.883680582,,
MODEL6,VGG-16-B,109,0.202025518,0.931818187,0.353471875,0.864583313,,
MODEL6,VGG-16-B,110,0.195221484,0.933092237,0.37846753,0.846354187,,
MODEL6,VGG-16-B,111,0.19481419,0.933092237,0.391628027,0.84375,,
MODEL6,VGG-16-B,112,0.185880154,0.937070549,0.335962743,0.868055582,,
MODEL6,VGG-16-B,113,0.198444977,0.93092227,0.326399535,0.878472209,,
MODEL6,VGG-16-B,114,0.20007953,0.931283891,0.318514436,0.884548604,,
MODEL6,VGG-16-B,115,0.192089707,0.935623884,0.348787516,0.868923604,,
MODEL6,VGG-16-B,116,0.189777613,0.936708868,0.376814038,0.848958313,,
MODEL6,VGG-16-B,117,0.192289174,0.93417722,0.32806012,0.874131918,,
MODEL6,VGG-16-B,118,0.196467444,0.936347187,0.352855325,0.855902791,,
MODEL6,VGG-16-B,119,0.187080786,0.94068718,0.310643226,0.881944418,,
MODEL6,VGG-16-B,120,0.1854745,0.940325499,0.361352086,0.857638896,,
MODEL6,VGG-16-B,121,0.191934884,0.934900522,0.369030595,0.860243082,,
MODEL6,VGG-16-B,122,0.200596735,0.924050629,0.367763907,0.859375,,
MODEL6,VGG-16-B,123,0.198593095,0.931645572,0.358570248,0.863715291,,
MODEL6,VGG-16-B,124,0.193507403,0.929837227,0.391661435,0.837673604,,
MODEL6,VGG-16-B,125,0.21173802,0.928390622,0.324206889,0.884548604,,
MODEL6,VGG-16-B,126,0.178248137,0.938155532,0.365305513,0.854166687,,
MODEL6,VGG-16-B,127,0.188811868,0.936708868,0.353377759,0.862847209,,
MODEL6,VGG-16-B,128,0.177766711,0.935985506,0.348981977,0.873263896,,
MODEL6,VGG-16-B,129,0.18384698,0.930198908,0.368409485,0.862847209,,
MODEL6,VGG-16-B,130,0.187029064,0.941048801,0.324516028,0.883680582,,
MODEL6,VGG-16-B,131,0.182712719,0.936708868,0.360898137,0.864583313,,
MODEL6,VGG-16-B,132,0.183133736,0.932007253,0.331423908,0.880208313,,
MODEL6,VGG-16-B,133,0.194650099,0.934538901,0.33556357,0.873263896,,
MODEL6,VGG-16-B,134,0.173975289,0.942495465,0.383190751,0.853298604,,
MODEL6,VGG-16-B,135,0.193603665,0.93417722,0.329109043,0.8828125,,
MODEL6,VGG-16-B,136,0.18461524,0.936708868,0.310177058,0.887152791,,
MODEL6,VGG-16-B,137,0.191980749,0.934538901,0.385783702,0.847222209,,
MODEL6,VGG-16-B,138,0.17416048,0.940325499,0.357498169,0.8671875,,
MODEL6,VGG-16-B,139,0.180104598,0.936347187,0.346897632,0.868055582,,
MODEL6,VGG-16-B,140,0.179361835,0.940340936,0.316622913,0.8828125,,
MODEL6,VGG-16-B,141,0.193885177,0.932368875,0.381558746,0.845486104,,
MODEL6,VGG-16-B,142,0.19344379,0.93092227,0.362421483,0.853298604,,
MODEL6,VGG-16-B,143,0.183397844,0.936708868,0.330799788,0.878472209,,
MODEL6,VGG-16-B,144,0.186085835,0.934900522,0.377545506,0.861111104,,
MODEL6,VGG-16-B,145,0.185259268,0.937793851,0.354788989,0.860243082,,
MODEL6,VGG-16-B,146,0.190040499,0.933092237,0.367101729,0.857638896,,
MODEL6,VGG-16-B,147,0.176479205,0.939602196,0.410740376,0.838541687,,
MODEL6,VGG-16-B,148,0.195404947,0.934538901,0.381053865,0.852430582,,
MODEL6,VGG-16-B,149,0.181206048,0.939963818,0.301146775,0.888020813,,
MODEL6,VGG-16-B,150,0.184716597,0.938155532,0.363482088,0.859375,,
MODEL6,VGG-16-B,151,0.186184466,0.931283891,0.376271904,0.845486104,,
MODEL6,VGG-16-B,152,0.171023712,0.943218827,0.372869134,0.856770813,,
MODEL6,VGG-16-B,153,0.180017635,0.935623884,0.363343179,0.857638896,,
MODEL6,VGG-16-B,154,0.177729174,0.939240515,0.362388134,0.857638896,,
MODEL6,VGG-16-B,155,0.187624037,0.937793851,0.348399788,0.868923604,,
MODEL6,VGG-16-B,156,0.183240354,0.937070549,0.331165344,0.879340291,,
MODEL6,VGG-16-B,157,0.180258721,0.939602196,0.384581029,0.847222209,,
MODEL6,VGG-16-B,158,0.177438125,0.939240515,0.384489357,0.842881918,,
MODEL6,VGG-16-B,159,0.185747817,0.939963818,0.377463937,0.852430582,,
MODEL6,VGG-16-B,160,0.17881158,0.943218827,0.377957106,0.852430582,,
MODEL6,VGG-16-B,161,0.187243849,0.937070549,0.351105481,0.868055582,,
MODEL6,VGG-16-B,162,0.17733337,0.937070549,0.314773649,0.884548604,,
MODEL6,VGG-16-B,163,0.18683885,0.934538901,0.329666257,0.878472209,,
MODEL6,VGG-16-B,164,0.17842932,0.934538901,0.361843497,0.859375,,
MODEL6,VGG-16-B,165,0.188090503,0.93743217,0.405509442,0.836805582,,
MODEL6,VGG-16-B,166,0.195370376,0.933453918,0.371207982,0.855034709,,
MODEL6,VGG-16-B,167,0.17871277,0.934538901,0.370810091,0.861979187,,
MODEL6,VGG-16-B,168,0.179368779,0.937144876,0.322872519,0.880208313,,
MODEL6,VGG-16-B,169,0.181688398,0.936708868,0.336680204,0.873263896,,
MODEL6,VGG-16-B,170,0.174205184,0.941410482,0.348330706,0.8671875,,
MODEL6,VGG-16-B,171,0.185644642,0.938517153,0.347306281,0.871527791,,
MODEL6,VGG-16-B,172,0.18325752,0.937070549,0.36398837,0.860243082,,
MODEL6,VGG-16-B,173,0.174169868,0.939963818,0.349984378,0.862847209,,
MODEL6,VGG-16-B,174,0.182979971,0.93743217,0.372931421,0.849826396,,
MODEL6,VGG-16-B,175,0.173479468,0.941410482,0.380906761,0.84375,,
MODEL6,VGG-16-B,176,0.175027311,0.941048801,0.350550681,0.863715291,,
MODEL6,VGG-16-B,177,0.178005084,0.938878834,0.338285744,0.871527791,,
MODEL6,VGG-16-B,178,0.183267012,0.936347187,0.312176704,0.888888896,,
MODEL6,VGG-16-B,179,0.192002803,0.937070549,0.377682537,0.8515625,,
MODEL6,VGG-16-B,180,0.188054308,0.937793851,0.410818517,0.832465291,,
MODEL6,VGG-16-B,181,0.179324597,0.940325499,0.356385171,0.857638896,,
MODEL6,VGG-16-B,182,0.180660367,0.939240515,0.360054374,0.860243082,,
MODEL6,VGG-16-B,183,0.17598787,0.938155532,0.40545398,0.833333313,,
MODEL6,VGG-16-B,184,0.185899287,0.93743217,0.410668701,0.8359375,,
MODEL6,VGG-16-B,185,0.177087605,0.934900522,0.369359732,0.855902791,,
MODEL6,VGG-16-B,186,0.184845641,0.927305579,0.401281148,0.838541687,,
MODEL6,VGG-16-B,187,0.179793522,0.944665432,0.399732053,0.844618082,,
MODEL6,VGG-16-B,188,0.179982916,0.938878834,0.327034146,0.879340291,,
MODEL6,VGG-16-B,189,0.181974381,0.931645572,0.332298011,0.879340291,,
MODEL6,VGG-16-B,190,0.184048295,0.938878834,0.327983469,0.875868082,,
MODEL6,VGG-16-B,191,0.176072836,0.941772163,0.381333232,0.848958313,,
MODEL6,VGG-16-B,192,0.171348199,0.937793851,0.357481122,0.863715291,,
MODEL6,VGG-16-B,193,0.173131526,0.943181813,0.337237805,0.877604187,,
MODEL6,VGG-16-B,194,0.18002224,0.937070549,0.347049385,0.872395813,,
MODEL6,VGG-16-B,195,0.160193369,0.943218827,0.360223413,0.863715291,,
MODEL6,VGG-16-B,196,0.177122653,0.942133844,0.336302757,0.875868082,,
MODEL6,VGG-16-B,197,0.166417956,0.947558761,0.377355933,0.859375,,
MODEL6,VGG-16-B,198,0.174888566,0.942857146,0.345912546,0.875,,
MODEL6,VGG-16-B,199,0.179227337,0.938155532,0.363604784,0.866319418,,
MODEL7,VGG-16-C,0,0.890069723,0.714828908,0.76415813,0.808562219,,
MODEL7,VGG-16-C,1,0.701385558,0.883166254,0.713045895,0.847334385,,
MODEL7,VGG-16-C,2,0.666538417,0.903214633,0.700636983,0.857027471,,
MODEL7,VGG-16-C,3,0.657524288,0.909782231,0.68886745,0.866720498,,
MODEL7,VGG-16-C,4,0.64105773,0.922917366,0.722013354,0.82714057,,
MODEL7,VGG-16-C,5,0.634737253,0.92741102,0.697035134,0.855411947,,
MODEL7,VGG-16-C,6,0.626044989,0.936398208,0.672948122,0.882067859,,
MODEL7,VGG-16-C,7,0.623686135,0.936398208,0.728610456,0.822293997,,
MODEL7,VGG-16-C,8,0.623102367,0.933978558,0.668367922,0.883683383,,
MODEL7,VGG-16-C,9,0.62456423,0.930867612,0.685278893,0.865105033,,
MODEL7,VGG-16-C,10,0.620678067,0.936398208,0.653946519,0.899030685,,
MODEL7,VGG-16-C,11,0.611930311,0.947113752,0.658428311,0.895799696,,
MODEL7,VGG-16-C,12,0.615317523,0.937780857,0.657086611,0.895799696,,
MODEL7,VGG-16-C,13,0.612638891,0.944348454,0.697268784,0.850565434,,
MODEL7,VGG-16-C,14,0.60821116,0.9474594,0.654535234,0.895799696,,
MODEL7,VGG-16-C,15,0.609324217,0.9474594,0.671385169,0.875605822,,
MODEL7,VGG-16-C,16,0.607776284,0.948842049,0.697996497,0.853796422,,
MODEL7,VGG-16-C,17,0.608789444,0.946768045,0.690124691,0.857835233,,
MODEL7,VGG-16-C,18,0.600735247,0.95748359,0.644415617,0.907108247,,
MODEL7,VGG-16-C,19,0.606762648,0.947805047,0.67880404,0.86752826,,
MODEL7,VGG-16-C,20,0.602328122,0.952298641,0.671323419,0.873990297,,
MODEL7,VGG-16-C,21,0.610402346,0.945039749,0.658305585,0.894184172,,
MODEL7,VGG-16-C,22,0.605532825,0.949533343,0.695131063,0.85298872,,
MODEL7,VGG-16-C,23,0.601984918,0.951607347,0.670949399,0.875605822,,
MODEL7,VGG-16-C,24,0.603030682,0.95126164,0.664771438,0.880452335,,
MODEL7,VGG-16-C,25,0.601518035,0.955063939,0.678571641,0.868336022,,
MODEL7,VGG-16-C,26,0.59896183,0.956792235,0.677871585,0.864297271,,
MODEL7,VGG-16-C,27,0.597579896,0.955755293,0.662737787,0.888529897,,
MODEL7,VGG-16-C,28,0.598742366,0.955755293,0.672302723,0.87156707,,
MODEL7,VGG-16-C,29,0.59813261,0.956792235,0.663492203,0.882067859,,
MODEL7,VGG-16-C,30,0.594694376,0.961285889,0.684587121,0.865105033,,
MODEL7,VGG-16-C,31,0.596703589,0.958866239,0.653722465,0.894991934,,
MODEL7,VGG-16-C,32,0.602753639,0.949187696,0.673481822,0.874798059,,
MODEL7,VGG-16-C,33,0.592704058,0.963014185,0.667851686,0.882067859,,
MODEL7,VGG-16-C,34,0.596091092,0.955409586,0.682367206,0.86752826,,
MODEL7,VGG-16-C,35,0.593795717,0.962668538,0.666935265,0.880452335,,
MODEL7,VGG-16-C,36,0.591712296,0.963359833,0.673360229,0.873182535,,
MODEL7,VGG-16-C,37,0.59996444,0.955063939,0.667511106,0.877221346,,
MODEL7,VGG-16-C,38,0.595229745,0.959211886,0.680493951,0.870759308,,
MODEL7,VGG-16-C,39,0.590968966,0.965088129,0.660603583,0.887722135,,
MODEL7,VGG-16-C,40,0.594095469,0.956792235,0.675849557,0.873182535,,
MODEL7,VGG-16-C,41,0.590046346,0.96370548,0.650677681,0.898222923,,
MODEL7,VGG-16-C,42,0.591034114,0.962668538,0.678144276,0.86752826,,
MODEL7,VGG-16-C,43,0.590828359,0.963014185,0.689124107,0.855411947,,
MODEL7,VGG-16-C,44,0.589329362,0.965779483,0.646398425,0.897415161,,
MODEL7,VGG-16-C,45,0.589834511,0.964051187,0.70025754,0.846526682,,
MODEL7,VGG-16-C,46,0.588366091,0.964396834,0.6565184,0.891760886,,
MODEL7,VGG-16-C,47,0.592693925,0.959557533,0.685279846,0.862681746,,
MODEL7,VGG-16-C,48,0.595858335,0.958174884,0.654810548,0.894991934,,
MODEL7,VGG-16-C,49,0.589208364,0.965433776,0.686055839,0.861873984,,
MODEL8,Resnet-A,0,4.663519859,0.344279289,1.125088334,0.587237477,,
MODEL8,Resnet-A,1,1.283267736,0.495679229,1.047681689,0.530694664,,
MODEL8,Resnet-A,2,0.764395714,0.666436255,0.588416457,0.778675258,,
MODEL8,Resnet-A,3,0.695171058,0.705496013,0.547371149,0.788368344,,
MODEL8,Resnet-A,4,0.70257026,0.675769091,0.691051304,0.670436203,,
MODEL8,Resnet-A,5,0.619935274,0.733840287,0.495931447,0.825525045,,
MODEL8,Resnet-A,6,0.582791924,0.774974048,0.551907122,0.768982232,,
MODEL8,Resnet-A,7,0.558586836,0.791565835,0.522823215,0.761712432,,
MODEL8,Resnet-A,8,0.640618443,0.719322503,0.694327652,0.712439418,,
MODEL8,Resnet-A,9,0.581608951,0.761838913,0.438854158,0.808562219,,
MODEL8,Resnet-A,10,0.51351589,0.79847908,0.43036747,0.840064645,,
MODEL8,Resnet-A,11,0.572293639,0.758036613,0.408908188,0.863489509,,
MODEL8,Resnet-A,12,0.523859441,0.784998298,0.424403429,0.856219709,,
MODEL8,Resnet-A,13,0.562551856,0.756653965,0.393601507,0.869951546,,
MODEL8,Resnet-A,14,0.487134188,0.811959922,0.546591103,0.773020983,,
MODEL8,Resnet-A,15,0.512886584,0.790874541,0.381652266,0.854604185,,
MODEL8,Resnet-A,16,0.458697528,0.827860355,0.640086353,0.726171255,,
MODEL8,Resnet-A,17,0.581166923,0.744555831,0.448196381,0.833602607,,
MODEL8,Resnet-A,18,0.478779554,0.810577273,0.387783438,0.87156707,,
MODEL8,Resnet-A,19,0.414354503,0.850674033,0.533599854,0.78675282,,
MODEL8,Resnet-A,20,0.509705186,0.791220188,0.473401576,0.809369981,,
MODEL8,Resnet-A,21,0.493944854,0.793985486,0.349641919,0.865105033,,
MODEL8,Resnet-A,22,0.401132286,0.852056682,0.403046668,0.846526682,,
MODEL8,Resnet-A,23,0.432534069,0.832008302,0.41079548,0.848949909,,
MODEL8,Resnet-A,24,0.424497128,0.835119247,0.3488608,0.880452335,,
MODEL8,Resnet-A,25,0.433274657,0.841686845,0.372496158,0.869951546,,
MODEL8,Resnet-A,26,0.499888301,0.791220188,0.427119732,0.829563797,,
MODEL8,Resnet-A,27,0.452340335,0.827860355,0.332783759,0.881260097,,
MODEL8,Resnet-A,28,0.467445076,0.816799164,0.576154172,0.783521831,,
MODEL8,Resnet-A,29,0.39335531,0.855167627,0.472210407,0.825525045,,
MODEL8,Resnet-A,30,0.449369758,0.820947111,1.109061956,0.643780291,,
MODEL8,Resnet-A,31,0.45671773,0.819910109,0.358577222,0.86752826,,
MODEL8,Resnet-A,32,0.420288056,0.835119247,0.49315834,0.806138933,,
MODEL8,Resnet-A,33,0.512746572,0.79225719,0.826092243,0.708400667,,
MODEL8,Resnet-A,34,0.450119823,0.826823354,0.468991578,0.806138933,,
MODEL8,Resnet-A,35,0.377041012,0.853784978,0.310644716,0.881260097,,
MODEL8,Resnet-A,36,0.417655915,0.840304196,0.384137541,0.859450698,,
MODEL8,Resnet-A,37,0.387031078,0.850328386,0.34401089,0.865105033,,
MODEL8,Resnet-A,38,0.388195246,0.846871734,0.507708609,0.81260097,,
MODEL8,Resnet-A,39,0.383958101,0.853093684,0.343658507,0.86752826,,
MODEL8,Resnet-A,40,0.331468821,0.880055308,0.334870845,0.869951546,,
MODEL8,Resnet-A,41,0.465812176,0.816799164,0.722930193,0.662358642,,
MODEL8,Resnet-A,42,0.581167161,0.772900105,0.355285823,0.866720498,,
MODEL8,Resnet-A,43,0.417779297,0.836847544,0.386520028,0.857835233,,
MODEL8,Resnet-A,44,0.351460546,0.86104387,0.324706376,0.877221346,,
MODEL8,Resnet-A,45,0.327253848,0.882474959,0.391359836,0.857027471,,
MODEL8,Resnet-A,46,0.351301283,0.867957115,0.315300405,0.875605822,,
MODEL8,Resnet-A,47,0.40401122,0.844452143,0.356395185,0.873990297,,
MODEL8,Resnet-A,48,0.33562094,0.871759415,0.363642186,0.861873984,,
MODEL8,Resnet-A,49,0.375207603,0.853093684,0.344652057,0.869143784,,
MODEL8,Resnet-A,50,0.365745157,0.871413767,0.329813272,0.873990297,,
MODEL8,Resnet-A,51,0.399917066,0.853439331,0.589935124,0.781906307,,
MODEL8,Resnet-A,52,0.436184853,0.821292758,0.594924092,0.785945058,,
MODEL8,Resnet-A,53,0.440675467,0.828897357,0.374429077,0.869143784,,
MODEL8,Resnet-A,54,0.369117051,0.859661222,0.304251343,0.882875621,,
MODEL8,Resnet-A,55,0.371749043,0.853093684,0.377797157,0.868336022,,
MODEL8,Resnet-A,56,0.380801827,0.851365387,0.333649904,0.886914372,,
MODEL8,Resnet-A,57,0.341329932,0.867611468,0.377043307,0.86025846,,
MODEL8,Resnet-A,58,0.357612938,0.861389577,0.379748821,0.856219709,,
MODEL8,Resnet-A,59,0.336726665,0.872796416,0.28647542,0.891760886,,
MODEL8,Resnet-A,60,0.371072948,0.852402329,0.490158111,0.806946695,,
MODEL8,Resnet-A,61,0.328266442,0.878672659,0.318497419,0.891760886,,
MODEL8,Resnet-A,62,0.351936787,0.860352576,0.549070597,0.810177684,,
MODEL8,Resnet-A,63,0.382776171,0.857587278,0.556019008,0.810177684,,
MODEL8,Resnet-A,64,0.345365673,0.868302822,0.435296088,0.84571892,,
MODEL8,Resnet-A,65,0.398948789,0.841686845,0.605397105,0.788368344,,
MODEL8,Resnet-A,66,0.408046842,0.844452143,0.321957052,0.887722135,,
MODEL8,Resnet-A,67,0.325828284,0.873142064,0.41607976,0.844911158,,
MODEL8,Resnet-A,68,0.326259911,0.881437957,0.30066663,0.890953124,,
MODEL8,Resnet-A,69,0.319835961,0.874524713,0.317456245,0.882875621,,
MODEL8,Resnet-A,70,0.326488078,0.880400956,0.300996423,0.883683383,,
MODEL8,Resnet-A,71,0.351443827,0.863117874,0.438243866,0.843295634,,
MODEL8,Resnet-A,72,0.346261621,0.870376766,0.313378781,0.88610661,,
MODEL8,Resnet-A,73,0.380203992,0.850674033,0.311741054,0.883683383,,
MODEL8,Resnet-A,74,0.348017156,0.870031118,0.320119202,0.882875621,,
MODEL8,Resnet-A,75,0.364278585,0.866574466,0.436033785,0.827948332,,
MODEL8,Resnet-A,76,0.362994403,0.866228819,0.332488805,0.882067859,,
MODEL8,Resnet-A,77,0.323690921,0.883857608,0.313534439,0.883683383,,
MODEL8,Resnet-A,78,0.307147354,0.88489455,0.389907479,0.857835233,,
MODEL8,Resnet-A,79,0.341502577,0.867265821,0.378904492,0.86025846,,
MODEL8,Resnet-A,80,0.311075151,0.883166254,0.354243517,0.877221346,,
MODEL8,Resnet-A,81,0.322012544,0.882474959,0.365937918,0.865912735,,
MODEL8,Resnet-A,82,0.332282156,0.869339764,0.392333269,0.85298872,,
MODEL8,Resnet-A,83,0.328829736,0.874179065,0.298735589,0.889337659,,
MODEL8,Resnet-A,84,0.34459275,0.865537524,0.43284145,0.840872347,,
MODEL8,Resnet-A,85,0.388215184,0.845143437,0.448317409,0.849757671,,
MODEL8,Resnet-A,86,0.445375174,0.830625653,0.410382897,0.857027471,,
MODEL8,Resnet-A,87,0.368686825,0.862426519,0.345883727,0.876413584,,
MODEL8,Resnet-A,88,0.373358816,0.862080872,0.440431476,0.836025834,,
MODEL8,Resnet-A,89,0.359410137,0.865883172,0.336899638,0.895799696,,
MODEL8,Resnet-A,90,0.327906102,0.875907362,0.382888854,0.874798059,,
MODEL8,Resnet-A,91,0.346910059,0.863809168,0.424479395,0.847334385,,
MODEL8,Resnet-A,92,0.332479209,0.870376766,0.34576571,0.878029108,,
MODEL8,Resnet-A,93,0.345671803,0.875216067,0.327018172,0.877221346,,
MODEL8,Resnet-A,94,0.340927899,0.868994117,0.322937071,0.883683383,,
MODEL8,Resnet-A,95,0.318706006,0.88109231,0.522155046,0.816639721,,
MODEL8,Resnet-A,96,0.471093208,0.818873167,0.551077783,0.815831959,,
MODEL8,Resnet-A,97,0.305142224,0.889388204,0.391439199,0.861873984,,
MODEL8,Resnet-A,98,0.291817725,0.889733851,0.316024601,0.878836811,,
MODEL8,Resnet-A,99,0.330928475,0.871759415,0.337072015,0.873990297,,
MODEL9,Resnet-B,0,1.618011117,0.343242317,0.931659758,0.618739903,,
MODEL9,Resnet-B,1,0.95631063,0.522986531,0.783568025,0.761712432,,
MODEL9,Resnet-B,2,0.824318588,0.684064984,0.679429054,0.756865919,,
MODEL9,Resnet-B,3,0.759918392,0.682336688,0.649166584,0.769789994,,
MODEL9,Resnet-B,4,0.708123446,0.697891474,0.58016175,0.793214858,,
MODEL9,Resnet-B,5,0.678818762,0.710335314,0.518022001,0.800484657,,
MODEL9,Resnet-B,6,0.63027674,0.75216037,0.508715093,0.805331171,,
MODEL9,Resnet-B,7,0.592011631,0.767023861,0.468562007,0.819063008,,
MODEL9,Resnet-B,8,0.581606627,0.767369509,0.436130792,0.842487872,,
MODEL9,Resnet-B,9,0.548398376,0.784998298,0.528843462,0.764135718,,
MODEL9,Resnet-B,10,0.537325084,0.790874541,0.483878791,0.810177684,,
MODEL9,Resnet-B,11,0.512934089,0.806083679,0.45623216,0.808562219,,
MODEL9,Resnet-B,12,0.499090582,0.808157623,0.428058028,0.807754457,,
MODEL9,Resnet-B,13,0.481683135,0.821292758,0.46858573,0.784329593,,
MODEL9,Resnet-B,14,0.487115264,0.801590025,0.398165286,0.83441031,,
MODEL9,Resnet-B,15,0.468885958,0.817836165,0.385216743,0.850565434,,
MODEL9,Resnet-B,16,0.453047663,0.83235395,0.359010875,0.854604185,,
MODEL9,Resnet-B,17,0.463995278,0.825440705,0.359544784,0.857027471,,
MODEL9,Resnet-B,18,0.444126129,0.826477706,0.327059269,0.876413584,,
MODEL9,Resnet-B,19,0.425116003,0.835119247,0.326424003,0.877221346,,
MODEL9,Resnet-B,20,0.45007357,0.828206003,0.32891351,0.864297271,,
MODEL9,Resnet-B,21,0.41794306,0.843069494,0.394444704,0.83441031,,
MODEL9,Resnet-B,22,0.435990781,0.826823354,0.393752724,0.840872347,,
MODEL9,Resnet-B,23,0.407866657,0.841341197,0.348746955,0.853796422,,
MODEL9,Resnet-B,24,0.41690439,0.835810602,0.366096765,0.846526682,,
MODEL9,Resnet-B,25,0.43576178,0.835119247,0.331388831,0.864297271,,
MODEL9,Resnet-B,26,0.450758606,0.821984112,0.304918975,0.877221346,,
MODEL9,Resnet-B,27,0.387979329,0.858278632,0.331971556,0.868336022,,
MODEL9,Resnet-B,28,0.395684689,0.853439331,0.358765751,0.854604185,,
MODEL9,Resnet-B,29,0.388100415,0.855513334,0.335593313,0.86752826,,
MODEL9,Resnet-B,30,0.395142704,0.846180439,0.414496988,0.831987083,,
MODEL9,Resnet-B,31,0.379707247,0.856550276,0.399675667,0.84571892,,
MODEL9,Resnet-B,32,0.393074512,0.849637032,0.435166895,0.82714057,,
MODEL9,Resnet-B,33,0.373106271,0.859315574,0.322532445,0.872374773,,
MODEL9,Resnet-B,34,0.387960881,0.851711035,0.328907579,0.869951546,,
MODEL9,Resnet-B,35,0.357979596,0.867957115,0.419496596,0.830371559,,
MODEL9,Resnet-B,36,0.369038135,0.863117874,0.316220194,0.877221346,,
MODEL9,Resnet-B,37,0.360056877,0.868302822,0.331114739,0.869143784,,
MODEL9,Resnet-B,38,0.35076192,0.871413767,0.323972374,0.877221346,,
MODEL9,Resnet-B,39,0.370477438,0.86484617,0.331271529,0.866720498,,
MODEL9,Resnet-B,40,0.357073635,0.867957115,0.334555298,0.868336022,,
MODEL9,Resnet-B,41,0.375497818,0.852402329,0.396889448,0.844911158,,
MODEL9,Resnet-B,42,0.379344791,0.850674033,0.313545197,0.875605822,,
MODEL9,Resnet-B,43,0.385282636,0.858278632,0.46766749,0.821486294,,
MODEL9,Resnet-B,44,0.368248582,0.856550276,0.322083443,0.874798059,,
MODEL9,Resnet-B,45,0.366589934,0.853093684,0.312009335,0.882067859,,
MODEL9,Resnet-B,46,0.331936598,0.879363954,0.364207029,0.86025846,,
MODEL9,Resnet-B,47,0.358416885,0.868648469,0.377753556,0.852180958,,
MODEL9,Resnet-B,48,0.390024215,0.850674033,0.30025357,0.882067859,,
MODEL9,Resnet-B,49,0.365000516,0.863463521,0.306064337,0.874798059,,
