Model No,Basic Model Name,Epochs,loss,categorical_accuracy,val_loss,val_categorical_accuracy,,
MODEL3,Basic Model-C,15,0.293038338,0.898372531,5.582818508,0.615451396,,
MODEL3,Basic Model-C,16,0.283991098,0.896202505,5.307994366,0.614583313,,
MODEL3,Basic Model-C,17,0.292636037,0.894032538,6.641438007,0.524305582,,
MODEL3,Basic Model-C,18,0.293605804,0.889330924,4.271827221,0.5859375,,
MODEL3,Basic Model-C,19,0.302727729,0.899457514,5.302289963,0.5546875,,
MODEL3,Basic Model-C,20,0.27564919,0.900904179,10.32550526,0.394097209,,
MODEL3,Basic Model-C,21,0.263805836,0.913924038,7.167597294,0.4609375,,
MODEL3,Basic Model-C,22,0.284261465,0.899457514,8.581618309,0.347222209,,
MODEL3,Basic Model-C,23,0.267278194,0.907052457,3.953118563,0.336805552,,
MODEL3,Basic Model-C,24,0.269522488,0.901627481,2.354943514,0.642361104,,
MODEL3,Basic Model-C,25,0.244161367,0.917540669,1.033220887,0.722222209,,
MODEL3,Basic Model-C,26,0.255720943,0.907052457,2.849413157,0.4765625,,
MODEL3,Basic Model-C,27,0.244823232,0.915732384,0.925530314,0.722222209,,
MODEL3,Basic Model-C,28,0.255604386,0.915732384,0.694746494,0.723090291,,
MODEL3,Basic Model-C,29,0.242298484,0.917179048,0.955101252,0.689236104,,
MODEL4,Basic Model-D,0,1.026474476,0.507777393,0.732185721,0.850565434,,
MODEL4,Basic Model-D,1,0.803910017,0.742827535,0.69386518,0.861066222,,
MODEL4,Basic Model-D,2,0.723310351,0.829243004,0.699186087,0.850565434,,
MODEL4,Basic Model-D,3,0.726571023,0.824058056,0.661240757,0.891760886,,
MODEL4,Basic Model-D,4,0.727526724,0.819910109,0.665737808,0.886914372,,
MODEL4,Basic Model-D,5,0.718049824,0.829934299,0.729785442,0.810985446,,
MODEL4,Basic Model-D,6,0.696507871,0.85482198,0.653103113,0.897415161,,
MODEL4,Basic Model-D,7,0.713109374,0.833736598,0.653119266,0.897415161,,
MODEL4,Basic Model-D,8,0.73259455,0.81230557,0.656930387,0.89337641,,
MODEL4,Basic Model-D,9,0.714962423,0.8347736,0.692987323,0.856219709,,
MODEL4,Basic Model-D,10,0.705115259,0.844106436,0.689110279,0.861873984,,
MODEL4,Basic Model-D,11,0.699128389,0.850674033,0.652740419,0.899030685,,
MODEL4,Basic Model-D,12,0.696427107,0.851711035,0.652461112,0.897415161,,
MODEL4,Basic Model-D,13,0.684136033,0.866228819,0.658465743,0.886914372,,
MODEL4,Basic Model-D,14,0.688193142,0.863463521,0.657981098,0.89337641,,
MODEL4,Basic Model-D,15,0.701294482,0.847217441,0.654313445,0.897415161,,
MODEL4,Basic Model-D,16,0.674838126,0.87729001,0.691681027,0.858642995,,
MODEL4,Basic Model-D,17,0.678009629,0.869685471,0.710225821,0.839256883,,
MODEL4,Basic Model-D,18,0.696167111,0.854476333,0.663875759,0.885298848,,
MODEL4,Basic Model-D,19,0.701386094,0.848254383,0.710490704,0.840064645,,
MODEL4,Basic Model-D,20,0.677060366,0.876253009,0.697682261,0.850565434,,
MODEL4,Basic Model-D,21,0.675524354,0.872796416,0.671842098,0.87156707,,
MODEL4,Basic Model-D,22,0.659901142,0.891462147,0.650800049,0.90064621,,
MODEL4,Basic Model-D,23,0.678374588,0.87106812,0.696436644,0.851373196,,
