,loss,accuracy,val_loss,val_accuracy
0,0.634790123,0.785171807,0.539073765,0.78675282
1,0.535115957,0.827848077,0.514799476,0.770597756
2,0.483582139,0.840867996,0.466801792,0.817447484
3,0.447681993,0.850271225,0.484656304,0.774636507
4,0.416612923,0.862567782,0.440214843,0.806946695
5,0.390931249,0.866546094,0.460667878,0.798061371
6,0.379233211,0.877757668,0.439747602,0.809369981
7,0.365006089,0.873056054,0.424142182,0.822293997
8,0.356525481,0.882459342,0.408553183,0.832794845
9,0.342416883,0.884629309,0.448007315,0.810177684
10,0.339531571,0.879566014,0.422556728,0.823101759
11,0.323330939,0.888139188,0.401011258,0.828756034
12,0.331345022,0.88824594,0.401729614,0.827948332
13,0.319291621,0.890415907,0.412301481,0.824717283
14,0.313058168,0.894032538,0.423879296,0.817447484
15,0.296799868,0.906690776,0.437076062,0.815831959
16,0.306939214,0.892224252,0.428690463,0.819063008
17,0.298620641,0.902350843,0.406173885,0.826332808
18,0.286687315,0.902350843,0.416385531,0.823101759
19,0.293830782,0.895840883,0.435930729,0.811793208
20,0.284254849,0.901989162,0.441500306,0.814216495
21,0.286505491,0.902350843,0.381884873,0.838449121
22,0.282879233,0.904159129,0.416930616,0.823101759
23,0.276327133,0.900904179,0.437102973,0.815831959
24,0.268799484,0.905605793,0.399916053,0.828756034
25,0.266151816,0.910669088,0.397288412,0.831179321
26,0.271133095,0.912115753,0.384877205,0.836833596
27,0.264477879,0.906329095,0.393555492,0.832794845
28,0.264593095,0.912839055,0.386404186,0.839256883
29,0.261875957,0.90777576,0.358754873,0.851373196
30,0.260604471,0.906690776,0.364861429,0.848142147
31,0.26055479,0.90777576,0.398052394,0.837641358
32,0.259803832,0.907052457,0.430308491,0.818255246
33,0.257692575,0.906329095,0.329373688,0.874798059
34,0.244723037,0.916817367,0.352244854,0.864297271
35,0.252284169,0.913924038,0.34760651,0.861066222
36,0.24061422,0.914285719,0.369180769,0.849757671
37,0.24960418,0.912115753,0.375970632,0.848949909
38,0.243062124,0.917540669,0.370692283,0.849757671
39,0.250061929,0.912839055,0.42759943,0.819063008
40,0.243535593,0.913200736,0.370958656,0.847334385
41,0.23452954,0.922242343,0.366341621,0.856219709
42,0.24103041,0.916817367,0.339738637,0.864297271
43,0.239238977,0.916817367,0.36932236,0.852180958
44,0.233270258,0.925135612,0.379360467,0.840872347
45,0.223080203,0.921880662,0.366479099,0.85298872
46,0.235196516,0.91790235,0.382309318,0.840872347
47,0.233529985,0.922603965,0.399737746,0.827948332
48,0.239075631,0.918625653,0.379232258,0.848142147
49,0.234418228,0.91790235,0.379431307,0.844911158
50,0.233389691,0.924773932,0.394036114,0.838449121
51,0.227301121,0.92441231,0.343537271,0.864297271
52,0.229523599,0.917179048,0.355577618,0.857027471
53,0.23025322,0.918264031,0.346429139,0.861873984
54,0.234691724,0.916817367,0.356419474,0.857027471
55,0.218270659,0.9211573,0.372755647,0.850565434
56,0.224701375,0.920433998,0.336641192,0.873990297
57,0.234024286,0.921518981,0.3487809,0.861873984
58,0.234476328,0.917540669,0.351770163,0.861066222
59,0.232291266,0.916094005,0.356566072,0.857027471
60,0.221315414,0.925135612,0.362078518,0.85298872
61,0.221335456,0.924773932,0.38199535,0.843295634
62,0.225900114,0.916455686,0.371164709,0.84571892
63,0.225563139,0.922242343,0.323465407,0.882067859
64,0.21135284,0.926491499,0.372991771,0.846526682
65,0.223504245,0.921518981,0.370726377,0.844103396
66,0.220114753,0.925135612,0.372657239,0.848949909
67,0.224076524,0.92441231,0.34723407,0.863489509
68,0.219305888,0.922965646,0.360354722,0.853796422
69,0.214427456,0.931283891,0.374439776,0.849757671
70,0.208490223,0.923688948,0.327005565,0.873990297
71,0.215864256,0.920433998,0.327132583,0.877221346
72,0.222457081,0.922603965,0.441253871,0.815831959
73,0.213683024,0.928752244,0.356343836,0.85298872
74,0.204247206,0.93092227,0.321695,0.882067859
75,0.204856992,0.933453918,0.36630556,0.848949909
76,0.211339951,0.926220596,0.335407794,0.873182535
77,0.204446644,0.933815539,0.350780189,0.861873984
78,0.201622143,0.932730556,0.385861963,0.840064645
79,0.201590717,0.930560589,0.36850521,0.852180958
80,0.202559412,0.931645572,0.34759742,0.865912735
81,0.206678391,0.931283891,0.338032871,0.873182535
82,0.214404404,0.925497293,0.353739828,0.86752826
83,0.209824756,0.928390622,0.359202832,0.864297271
84,0.209828839,0.924773932,0.324581772,0.881260097
85,0.213680863,0.925135612,0.402564317,0.836833596
86,0.210816532,0.932007253,0.430324912,0.823909521
87,0.204451993,0.928267062,0.393718541,0.84168011
88,0.214781582,0.922603965,0.348484844,0.862681746
89,0.2127195,0.930560589,0.363196343,0.865912735
90,0.199888706,0.933453918,0.367297918,0.852180958
91,0.205152407,0.930198908,0.412471414,0.831179321
92,0.207845524,0.931283891,0.429348052,0.824717283
93,0.203838378,0.930560589,0.372234762,0.850565434
94,0.210198104,0.930198908,0.348782152,0.869951546
95,0.193091676,0.936347187,0.374122292,0.85298872
96,0.194006398,0.93092227,0.325781077,0.878029108
97,0.211648375,0.922965646,0.33627668,0.877221346
98,0.211703867,0.926220596,0.398089617,0.835218072
99,0.194003582,0.937793851,0.352638811,0.859450698
